Predicted iteration time: 4239.573 ms
Breakdown:
Comm: {'compute': 0.0, 'comm': 12330474960.0}
GPU0: {'compute': 1407684225.0, 'comm': 0.0}
GPU1: {'compute': 1298342784.0, 'comm': 0.0}
GPU2: {'compute': 1298342784.0, 'comm': 0.0}
GPU3: {'compute': 1298342784.0, 'comm': 0.0}
GPU4: {'compute': 1298342784.0, 'comm': 0.0}
GPU5: {'compute': 1298342784.0, 'comm': 0.0}
GPU6: {'compute': 1298342784.0, 'comm': 0.0}
GPU7: {'compute': 1298342784.0, 'comm': 0.0}
GPU8: {'compute': 1298342784.0, 'comm': 0.0}
GPU9: {'compute': 1298342784.0, 'comm': 0.0}
GPU10: {'compute': 1298342784.0, 'comm': 0.0}
GPU11: {'compute': 1298342784.0, 'comm': 0.0}
GPU12: {'compute': 1298342784.0, 'comm': 0.0}
GPU13: {'compute': 1298342784.0, 'comm': 0.0}
GPU14: {'compute': 1298342784.0, 'comm': 0.0}
GPU15: {'compute': 1298342784.0, 'comm': 0.0}
GPU16: {'compute': 1298342784.0, 'comm': 0.0}
GPU17: {'compute': 1298342784.0, 'comm': 0.0}
GPU18: {'compute': 1298342784.0, 'comm': 0.0}
GPU19: {'compute': 1298342784.0, 'comm': 0.0}
GPU20: {'compute': 1298342784.0, 'comm': 0.0}
GPU21: {'compute': 1298342784.0, 'comm': 0.0}
GPU22: {'compute': 1298342784.0, 'comm': 0.0}
GPU23: {'compute': 1298342784.0, 'comm': 0.0}
GPU24: {'compute': 1298342784.0, 'comm': 0.0}
GPU25: {'compute': 1298342784.0, 'comm': 0.0}
GPU26: {'compute': 1298342784.0, 'comm': 0.0}
GPU27: {'compute': 1298342784.0, 'comm': 0.0}
GPU28: {'compute': 1298342784.0, 'comm': 0.0}
GPU29: {'compute': 1298342784.0, 'comm': 0.0}
GPU30: {'compute': 1298342784.0, 'comm': 0.0}
GPU31: {'compute': 1863010432.0, 'comm': 0.0}
