Predicted iteration time: 6106.870 ms
Breakdown:
Comm: {'compute': 0.0, 'comm': 11709064200.0}
GPU0: {'compute': 3000490661.0, 'comm': 0.0}
GPU1: {'compute': 2531135620.0, 'comm': 0.0}
GPU2: {'compute': 2531135620.0, 'comm': 0.0}
GPU3: {'compute': 2531135620.0, 'comm': 0.0}
GPU4: {'compute': 2531135620.0, 'comm': 0.0}
GPU5: {'compute': 2531135620.0, 'comm': 0.0}
GPU6: {'compute': 2531135620.0, 'comm': 0.0}
GPU7: {'compute': 2531135620.0, 'comm': 0.0}
GPU8: {'compute': 2531135620.0, 'comm': 0.0}
GPU9: {'compute': 2531135620.0, 'comm': 0.0}
GPU10: {'compute': 2531135620.0, 'comm': 0.0}
GPU11: {'compute': 2531135620.0, 'comm': 0.0}
GPU12: {'compute': 2531135620.0, 'comm': 0.0}
GPU13: {'compute': 2531135620.0, 'comm': 0.0}
GPU14: {'compute': 2531135620.0, 'comm': 0.0}
GPU15: {'compute': 2531135620.0, 'comm': 0.0}
GPU16: {'compute': 2531135620.0, 'comm': 0.0}
GPU17: {'compute': 2531135620.0, 'comm': 0.0}
GPU18: {'compute': 2531135620.0, 'comm': 0.0}
GPU19: {'compute': 2531135620.0, 'comm': 0.0}
GPU20: {'compute': 2531135620.0, 'comm': 0.0}
GPU21: {'compute': 2531135620.0, 'comm': 0.0}
GPU22: {'compute': 2531135620.0, 'comm': 0.0}
GPU23: {'compute': 2531135620.0, 'comm': 0.0}
GPU24: {'compute': 2531135620.0, 'comm': 0.0}
GPU25: {'compute': 2531135620.0, 'comm': 0.0}
GPU26: {'compute': 2531135620.0, 'comm': 0.0}
GPU27: {'compute': 2531135620.0, 'comm': 0.0}
GPU28: {'compute': 2531135620.0, 'comm': 0.0}
GPU29: {'compute': 2531135620.0, 'comm': 0.0}
GPU30: {'compute': 2531135620.0, 'comm': 0.0}
GPU31: {'compute': 3642302084.0, 'comm': 0.0}
